id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team_name,league_name,league_name_id
1118,874,1601,2015-09-10 00:00:00,47,Balanced,48.0,Normal,38,Mixed,Organised,61,Normal,65,Normal,50,Normal,Organised,43,Medium,44,Press,49,Normal,Cover,Ruch Chorzów,Poland Ekstraklasa,7
943,100087,1773,2014-09-19 00:00:00,52,Balanced,51.0,Normal,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover,Oud-Heverlee Leuven,Belgium Jupiler League,11
624,110745,1957,2015-09-10 00:00:00,66,Balanced,54.0,Normal,38,Mixed,Organised,53,Normal,33,Little,66,Normal,Organised,57,Medium,56,Press,49,Normal,Cover,Jagiellonia Białystok,Poland Ekstraklasa,7
932,111540,2033,2014-09-19 00:00:00,45,Balanced,62.0,Normal,40,Mixed,Organised,53,Normal,37,Normal,44,Normal,Organised,37,Medium,24,Contain,44,Normal,Cover,S.C. Olhanense,Portugal Liga ZON Sagres,8
700,873,2182,2015-09-10 00:00:00,57,Balanced,50.0,Normal,40,Mixed,Free Form,59,Normal,70,Lots,67,Lots,Free Form,50,Medium,58,Press,45,Normal,Cover,Lech Poznań,Poland Ekstraklasa,7
1001,1570,2183,2013-09-20 00:00:00,34,Balanced,,Little,45,Mixed,Organised,39,Normal,52,Normal,40,Normal,Organised,57,Medium,32,Contain,50,Normal,Cover,P. Warszawa,Poland Ekstraklasa,7
335,110747,2186,2015-09-10 00:00:00,37,Balanced,50.0,Normal,38,Mixed,Organised,66,Normal,66,Normal,33,Little,Organised,59,Medium,34,Press,64,Normal,Cover,Cracovia,Poland Ekstraklasa,7
415,111271,4087,2015-09-10 00:00:00,58,Balanced,35.0,Normal,56,Mixed,Organised,52,Normal,61,Normal,51,Normal,Organised,47,Medium,43,Press,50,Normal,Cover,Évian Thonon Gaillard FC,France Ligue 1,4
224,111376,4170,2012-02-22 00:00:00,49,Balanced,,Little,37,Mixed,Organised,47,Normal,57,Normal,50,Normal,Organised,45,Medium,44,Press,66,Normal,Cover,US Boulogne Cote D'Opale,France Ligue 1,4
914,112225,6269,2014-09-19 00:00:00,66,Balanced,57.0,Normal,56,Mixed,Organised,56,Normal,55,Normal,57,Normal,Organised,36,Medium,49,Press,53,Normal,Cover,Novara,Italy Serie A,5
